2026-06-28 04:14:55 | INFO | TakeProfitManager | [STABLEUSDT] SHORT Canceling old limit orders before placing new TP...
2026-06-28 04:14:55 | INFO | TakeProfitManager | [STABLEUSDT] Placing SHORT take profit limit order at 0.03678. Vol: 700.0 (Attempt 1/3)
2026-06-28 04:14:56 | INFO | TakeProfitManager | [STABLEUSDT] SHORT Take profit LIMIT order placed successfully! ID: 924860937
2026-06-28 06:24:55 | INFO | TakeProfitManager | [DASHUSDT] SHORT Canceling old limit orders before placing new TP...
2026-06-28 06:24:55 | INFO | TakeProfitManager | [DASHUSDT] Placing SHORT take profit limit order at 32.57. Vol: 0.791 (Attempt 1/3)
2026-06-28 06:24:55 | INFO | TakeProfitManager | [DASHUSDT] SHORT Take profit LIMIT order placed successfully! ID: 10414892999
2026-06-28 08:24:55 | INFO | TakeProfitManager | [DASHUSDT] SHORT Canceling old limit orders before placing new TP...
2026-06-28 08:24:56 | INFO | TakeProfitManager | [DASHUSDT] Placing SHORT take profit limit order at 32.36. Vol: 0.796 (Attempt 1/3)
2026-06-28 08:24:56 | INFO | TakeProfitManager | [DASHUSDT] SHORT Take profit LIMIT order placed successfully! ID: 10415146261
2026-06-28 09:14:55 | INFO | TakeProfitManager | [DASHUSDT] SHORT Canceling old limit orders before placing new TP...
2026-06-28 09:14:55 | INFO | TakeProfitManager | [DASHUSDT] Placing SHORT take profit limit order at 32.15. Vol: 0.801 (Attempt 1/3)
2026-06-28 09:14:55 | INFO | TakeProfitManager | [DASHUSDT] SHORT Take profit LIMIT order placed successfully! ID: 10415269838
2026-06-28 09:49:55 | INFO | TakeProfitManager | [STABLEUSDT] SHORT Canceling old limit orders before placing new TP...
2026-06-28 09:49:56 | INFO | TakeProfitManager | [STABLEUSDT] Placing SHORT take profit limit order at 0.03706. Vol: 695.0 (Attempt 1/3)
2026-06-28 09:49:56 | INFO | TakeProfitManager | [STABLEUSDT] SHORT Take profit LIMIT order placed successfully! ID: 925072446
2026-06-28 13:00:24 | INFO | TakeProfitManager | [STABLEUSDT] SHORT Canceling old limit orders before placing new TP...
2026-06-28 13:00:24 | INFO | TakeProfitManager | [STABLEUSDT] Placing SHORT take profit limit order at 0.03681. Vol: 700.0 (Attempt 1/3)
