2026-07-01 04:39:08 | DEBUG | VolatilityManager | [VolatilityManager] [SOLUSDT] Сетка сброшена на стандартные настройки (super_indent удален).
2026-07-01 04:39:08 | INFO | VolatilityManager | [VolatilityManager] [SOLUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:39:08 | INFO | BotCore | Streams and REST synced! Running initial RuntimeFSM Sync...
2026-07-01 04:39:08 | INFO | VolatilityManager | [VolatilityManager] [VVVUSDT] Переход на Super Grid настройки. Волатильность=38.30%. Коэффициент=1.1265. Сетка обновлена (super_indent).
2026-07-01 04:41:09 | INFO | BotCore | [SOLUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-07-01 04:41:09 | INFO | BotCore | [SOLUSDT] LONG Canceling all limit orders for this side
2026-07-01 04:41:09 | DEBUG | RuntimeManager | [SOLUSDT] LONG FSM state reset to default (kept custom config).
2026-07-01 04:47:21 | INFO | BotCore | _game_loop cancelled.
2026-07-01 04:47:21 | INFO | FSM_Stream | PositionStream: WS disconnected
2026-07-01 04:47:22 | INFO | App | Ctrl+C detected. Shutting down...
2026-07-01 04:47:22 | INFO | BotCore | Executing graceful BotCore shutdown...
2026-07-01 04:47:22 | INFO | BotCore | Final FSM snapshot saved to runtime cache.
2026-07-01 04:47:30 | INFO | App | Starting BotCore...
2026-07-01 04:47:34 | INFO | App | TGReceiver will be started alongside BotCore.
2026-07-01 04:47:34 | INFO | BotCore | BotCore started in ACTIVE state (auto_start enabled). Trading loops are running.
2026-07-01 04:47:34 | INFO | BotCore | Running initial deep sync analytics on startup...
2026-07-01 04:47:34 | INFO | TGReceiver | Starting Telegram Receiver...
2026-07-01 04:47:35 | INFO | BotCore | Main _game_loop started. Specifications and price streams are running.
2026-07-01 04:47:35 | INFO | BotCore | Prefetching initial prices via REST...
2026-07-01 04:47:35 | INFO | VolatilityManager | [VolatilityManager] Started background loop.
2026-07-01 04:47:35 | INFO | VolatilityManager | [VolatilityManager] Processing 4 symbols. TF=1w, window=12, min_vol=15.0%, max_vol=None%
2026-07-01 04:47:35 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] Переход на Super Grid настройки. Волатильность=25.91%. Коэффициент=0.7619. Сетка обновлена (super_indent).
2026-07-01 04:47:35 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:47:35 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:47:35 | INFO | BotCore | Waiting for price streams to connect...
2026-07-01 04:47:35 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] Переход на Super Grid настройки. Волатильность=24.02%. Коэффициент=0.7063. Сетка обновлена (super_indent).
2026-07-01 04:47:35 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:47:35 | INFO | FSM_Stream | [BINANCE] listenKey created & activated: ImeYc... (length: 64)
2026-07-01 04:47:36 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] Переход на Super Grid настройки. Волатильность=34.93%. Коэффициент=1.0273. Сетка обновлена (super_indent).
2026-07-01 04:47:36 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:47:36 | INFO | VolatilityManager | [VolatilityManager] [SOLUSDT] Игнор: Расчитанная волатильность 14.07% ниже или равна минимуму 15.0%. Возвращаемся к использованию стандартных настроек индента.
2026-07-01 04:47:36 | DEBUG | VolatilityManager | [VolatilityManager] [SOLUSDT] Сетка сброшена на стандартные настройки (super_indent удален).
2026-07-01 04:47:36 | INFO | BotCore | Price streams connected successfully.
2026-07-01 04:47:36 | INFO | BotCore | Streams and REST synced! Running initial RuntimeFSM Sync...
2026-07-01 04:48:48 | INFO | BotCore | _game_loop cancelled.
2026-07-01 04:48:48 | INFO | FSM_Stream | PositionStream: WS disconnected
2026-07-01 04:48:48 | INFO | App | Ctrl+C detected. Shutting down...
2026-07-01 04:48:48 | INFO | BotCore | Executing graceful BotCore shutdown...
2026-07-01 04:48:48 | INFO | BotCore | Final FSM snapshot saved to runtime cache.
2026-07-01 04:49:36 | INFO | App | Starting BotCore...
2026-07-01 04:49:41 | INFO | App | TGReceiver will be started alongside BotCore.
2026-07-01 04:49:41 | INFO | BotCore | BotCore started in ACTIVE state (auto_start enabled). Trading loops are running.
2026-07-01 04:49:41 | INFO | BotCore | Running initial deep sync analytics on startup...
2026-07-01 04:49:41 | INFO | TGReceiver | Starting Telegram Receiver...
2026-07-01 04:49:41 | INFO | BotCore | Main _game_loop started. Specifications and price streams are running.
2026-07-01 04:49:41 | INFO | BotCore | Prefetching initial prices via REST...
2026-07-01 04:49:41 | INFO | VolatilityManager | [VolatilityManager] Started background loop.
2026-07-01 04:49:41 | INFO | VolatilityManager | [VolatilityManager] Processing 4 symbols. TF=1w, window=12, min_vol=15.0%, max_vol=None%
2026-07-01 04:49:42 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] Переход на Super Grid настройки. Волатильность=25.91%. Коэффициент=0.7619. Сетка обновлена (super_indent).
2026-07-01 04:49:42 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:49:42 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:49:42 | INFO | BotCore | Waiting for price streams to connect...
2026-07-01 04:49:42 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] Переход на Super Grid настройки. Волатильность=24.02%. Коэффициент=0.7063. Сетка обновлена (super_indent).
2026-07-01 04:49:42 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:49:42 | INFO | FSM_Stream | [BINANCE] listenKey created & activated: ImeYc... (length: 64)
2026-07-01 04:49:42 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] Переход на Super Grid настройки. Волатильность=34.93%. Коэффициент=1.0273. Сетка обновлена (super_indent).
2026-07-01 04:49:42 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-07-01 04:49:42 | INFO | BotCore | Price streams connected successfully.
2026-07-01 04:49:42 | INFO | VolatilityManager | [VolatilityManager] [SOLUSDT] Игнор: Расчитанная волатильность 14.07% ниже или равна минимуму 15.0%. Возвращаемся к использованию стандартных настроек индента.
2026-07-01 04:49:42 | DEBUG | VolatilityManager | [VolatilityManager] [SOLUSDT] Сетка сброшена на стандартные настройки (super_indent удален).
2026-07-01 04:49:43 | INFO | BotCore | Streams and REST synced! Running initial RuntimeFSM Sync...
2026-07-01 04:49:50 | INFO | BotCore | [DASHUSDT] SHORT: Signal is TRUE! Entering position...
2026-07-01 04:49:50 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-07-01 04:49:50 | INFO | BotCore | [SOLUSDT] LONG: Signal is TRUE! Entering position...
2026-07-01 04:49:50 | INFO | BotCore | [SOLUSDT] SHORT: Signal is TRUE! Entering position...
2026-07-01 04:49:50 | INFO | BotCore | [DASHUSDT] Signal triggered for SHORT.
2026-07-01 04:49:50 | INFO | BotCore | [DASHUSDT] Opening SHORT market order. Volume: 0.4
2026-07-01 04:49:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-07-01 04:49:50 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 143.0
2026-07-01 04:49:50 | INFO | BotCore | [SOLUSDT] Signal triggered for LONG.
2026-07-01 04:49:50 | INFO | BotCore | [SOLUSDT] Opening LONG market order. Volume: 0.18
2026-07-01 04:49:50 | INFO | BotCore | [SOLUSDT] Signal triggered for SHORT.
2026-07-01 04:49:50 | INFO | BotCore | [SOLUSDT] Opening SHORT market order. Volume: 0.18
2026-07-01 04:49:55 | WARNING | BotCore | [DASHUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-07-01 04:49:55 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-07-01 04:49:55 | WARNING | BotCore | [SOLUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-07-01 04:49:55 | WARNING | BotCore | [SOLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-07-01 04:49:55 | INFO | BotCore | [DASHUSDT] SHORT REST fallback applied! New avg_entry_price: 32.4
2026-07-01 04:49:55 | INFO | TakeProfitManager | [DASHUSDT] SHORT Canceling old limit orders before placing new TP...
2026-07-01 04:49:55 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.09051999999999999
2026-07-01 04:49:55 | INFO | TakeProfitManager | [XPLUSDT] SHORT Canceling old limit orders before placing new TP...
2026-07-01 04:49:56 | INFO | BotCore | [SOLUSDT] LONG REST fallback applied! New avg_entry_price: 73.87
2026-07-01 04:49:56 | INFO | TakeProfitManager | [SOLUSDT] LONG Canceling old limit orders before placing new TP...
2026-07-01 04:49:56 | INFO | BotCore | [SOLUSDT] SHORT REST fallback applied! New avg_entry_price: 73.86
2026-07-01 04:49:56 | INFO | TakeProfitManager | [SOLUSDT] SHORT Canceling old limit orders before placing new TP...
2026-07-01 04:49:56 | INFO | TakeProfitManager | [DASHUSDT] Placing SHORT take profit limit order at 32.21. Vol: 0.4 (Attempt 1/3)
2026-07-01 04:49:56 | INFO | TakeProfitManager | [XPLUSDT] Placing SHORT take profit limit order at 0.08998. Vol: 143.0 (Attempt 1/3)
2026-07-01 04:49:56 | INFO | TakeProfitManager | [SOLUSDT] Placing LONG take profit limit order at 74.31. Vol: 0.18 (Attempt 1/3)
2026-07-01 04:49:56 | INFO | TakeProfitManager | [SOLUSDT] Placing SHORT take profit limit order at 73.42. Vol: 0.18 (Attempt 1/3)
2026-07-01 04:49:56 | INFO | TakeProfitManager | [DASHUSDT] SHORT Take profit LIMIT order placed successfully! ID: 10426554669
