2026-06-30 02:47:00 | INFO | VolatilityScanner | [Scanner] Starting scan. TF=1w, window=8, min_vol=15.0%, strict=True
2026-06-30 02:47:00 | INFO | VolatilityScanner | [Scanner] Found 529 USDT-M Perpetual symbols.
2026-06-30 02:47:58 | INFO | VolatilityScanner | [Scanner] Saved 492 matching symbols to C:\Users\User\Desktop\HP_EliteBook_735\PROGECTS\MY\hron\cron3\CFG\volatile_symbols.json
2026-06-30 02:53:42 | INFO | VolatilityScanner | [Scanner] Starting scan. TF=1w, window=8, min_vol=25.0%, max_vol=60.0%, strict=True
2026-06-30 02:53:42 | INFO | VolatilityScanner | [Scanner] Found 529 USDT-M Perpetual symbols.
2026-06-30 02:54:40 | INFO | VolatilityScanner | [Scanner] Saved 202 matching symbols to C:\Users\User\Desktop\HP_EliteBook_735\PROGECTS\MY\hron\cron3\CFG\volatile_symbols.json
2026-06-30 03:00:41 | INFO | VolatilityScanner | [Scanner] Starting scan. TF=1w, window=12, min_vol=25.0%, max_vol=40.0%, strict=True
2026-06-30 03:00:41 | INFO | VolatilityScanner | [Scanner] Found 529 USDT-M Perpetual symbols.
2026-06-30 03:01:39 | INFO | VolatilityScanner | [Scanner] Saved 147 matching symbols to C:\Users\User\Desktop\HP_EliteBook_735\PROGECTS\MY\hron\cron3\CFG\volatile_symbols.json
