2026-06-23 04:15:36 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:15:51 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:15:51 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:15:51 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:16:06 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:16:06 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:16:06 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:16:25 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:16:26 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:16:26 | DEBUG | FSM_Monitor | [MONITOR] UPDATE WIFUSDT LONG - qty: 121.7, avg_price: 0.1644
2026-06-23 04:16:26 | DEBUG | FSM_Monitor | [MONITOR] UPDATE WIFUSDT SHORT - qty: -121.7, avg_price: 0.1643
2026-06-23 04:16:26 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:16:26 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:18:29 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:18:29 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:18:29 | DEBUG | FSM_Monitor | [MONITOR] UPDATE WIFUSDT LONG - qty: 121.7, avg_price: 0.1644
2026-06-23 04:18:29 | DEBUG | FSM_Monitor | [MONITOR] UPDATE WIFUSDT SHORT - qty: -121.7, avg_price: 0.1643
2026-06-23 04:18:29 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:18:29 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:18:44 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:18:59 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:19:14 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:19:29 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:19:30 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:19:30 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
