2026-06-30 03:29:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-06-30 03:29:50 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 127.0
2026-06-30 03:29:55 | WARNING | BotCore | [VVVUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 03:29:55 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 03:29:55 | INFO | BotCore | [VVVUSDT] SHORT REST fallback applied! New avg_entry_price: 13.148
2026-06-30 03:29:55 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.10171
2026-06-30 03:31:20 | INFO | BotCore | [STABLEUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 03:31:20 | INFO | BotCore | [STABLEUSDT] LONG Canceling all limit orders for this side
2026-06-30 03:31:26 | INFO | BotCore | [STABLEUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 03:31:26 | INFO | BotCore | [STABLEUSDT] SHORT Canceling all limit orders for this side
2026-06-30 03:31:44 | INFO | BotCore | [VVVUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 03:31:44 | INFO | BotCore | [VVVUSDT] SHORT Canceling all limit orders for this side
2026-06-30 03:31:54 | INFO | BotCore | [DASHUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 03:31:54 | INFO | BotCore | [DASHUSDT] SHORT Canceling all limit orders for this side
2026-06-30 03:31:57 | INFO | BotCore | [XPLUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 03:31:57 | INFO | BotCore | [XPLUSDT] SHORT Canceling all limit orders for this side
2026-06-30 03:34:50 | INFO | BotCore | [STABLEUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 03:34:50 | INFO | BotCore | [STABLEUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 03:34:50 | INFO | BotCore | [DASHUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 03:34:50 | INFO | BotCore | [VVVUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 03:34:50 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 03:34:50 | INFO | BotCore | [STABLEUSDT] Signal triggered for LONG.
2026-06-30 03:34:50 | INFO | BotCore | [STABLEUSDT] Opening LONG market order. Volume: 336.0
2026-06-30 03:34:50 | INFO | BotCore | [STABLEUSDT] Signal triggered for SHORT.
2026-06-30 03:34:50 | INFO | BotCore | [STABLEUSDT] Opening SHORT market order. Volume: 336.0
2026-06-30 03:34:50 | INFO | BotCore | [DASHUSDT] Signal triggered for SHORT.
2026-06-30 03:34:50 | INFO | BotCore | [DASHUSDT] Opening SHORT market order. Volume: 0.394
2026-06-30 03:34:50 | INFO | BotCore | [VVVUSDT] Signal triggered for SHORT.
2026-06-30 03:34:50 | INFO | BotCore | [VVVUSDT] Opening SHORT market order. Volume: 1.0
2026-06-30 03:34:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-06-30 03:34:50 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 128.0
2026-06-30 03:34:55 | WARNING | BotCore | [STABLEUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 03:34:55 | WARNING | BotCore | [STABLEUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 03:34:55 | WARNING | BotCore | [DASHUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 03:34:55 | WARNING | BotCore | [VVVUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 03:34:55 | INFO | BotCore | [STABLEUSDT] LONG REST fallback applied! New avg_entry_price: 0.03853
2026-06-30 03:34:55 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 03:34:55 | INFO | BotCore | [STABLEUSDT] SHORT REST fallback applied! New avg_entry_price: 0.03852
2026-06-30 03:34:56 | INFO | BotCore | [DASHUSDT] SHORT REST fallback applied! New avg_entry_price: 32.87
2026-06-30 03:34:56 | INFO | BotCore | [VVVUSDT] SHORT REST fallback applied! New avg_entry_price: 13.007
2026-06-30 03:34:56 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.10142
2026-06-30 03:39:22 | INFO | BotCore | [VVVUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 03:39:22 | INFO | BotCore | [VVVUSDT] SHORT Canceling all limit orders for this side
2026-06-30 03:39:50 | INFO | BotCore | [VVVUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 03:39:50 | INFO | BotCore | [VVVUSDT] Signal triggered for SHORT.
2026-06-30 03:39:50 | INFO | BotCore | [VVVUSDT] Opening SHORT market order. Volume: 1.0
2026-06-30 03:39:55 | WARNING | BotCore | [VVVUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 03:39:55 | INFO | BotCore | [VVVUSDT] SHORT REST fallback applied! New avg_entry_price: 12.938
2026-06-30 04:10:38 | INFO | BotCore | [DASHUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 04:10:38 | INFO | BotCore | [DASHUSDT] SHORT Canceling all limit orders for this side
2026-06-30 04:10:38 | INFO | BotCore | [DASHUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 04:10:38 | INFO | BotCore | [DASHUSDT] Signal triggered for SHORT.
2026-06-30 04:10:38 | INFO | BotCore | [DASHUSDT] Opening SHORT market order. Volume: 0.397
2026-06-30 04:10:43 | WARNING | BotCore | [DASHUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 04:10:43 | INFO | BotCore | [DASHUSDT] SHORT REST fallback applied! New avg_entry_price: 32.66
2026-06-30 04:14:38 | INFO | BotCore | [STABLEUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 04:14:38 | INFO | BotCore | [STABLEUSDT] LONG Canceling all limit orders for this side
2026-06-30 04:14:50 | INFO | BotCore | [STABLEUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 04:14:50 | INFO | BotCore | [STABLEUSDT] Signal triggered for LONG.
2026-06-30 04:14:50 | INFO | BotCore | [STABLEUSDT] Opening LONG market order. Volume: 335.0
2026-06-30 04:14:55 | WARNING | BotCore | [STABLEUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 04:14:55 | INFO | BotCore | [STABLEUSDT] LONG REST fallback applied! New avg_entry_price: 0.03871
2026-06-30 05:11:28 | INFO | BotCore | [XPLUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 05:11:28 | INFO | BotCore | [XPLUSDT] SHORT Canceling all limit orders for this side
2026-06-30 05:14:50 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 05:14:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-06-30 05:14:50 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 128.0
2026-06-30 05:14:55 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 05:14:55 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.10095
2026-06-30 05:16:10 | INFO | BotCore | [VVVUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 05:16:10 | INFO | BotCore | [VVVUSDT] SHORT Canceling all limit orders for this side
2026-06-30 05:19:50 | INFO | BotCore | [VVVUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 05:19:50 | INFO | BotCore | [VVVUSDT] Signal triggered for SHORT.
2026-06-30 05:19:50 | INFO | BotCore | [VVVUSDT] Opening SHORT market order. Volume: 1.0
2026-06-30 05:19:55 | WARNING | BotCore | [VVVUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 05:19:55 | INFO | BotCore | [VVVUSDT] SHORT REST fallback applied! New avg_entry_price: 12.949
2026-06-30 05:50:15 | INFO | BotCore | [STABLEUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 05:50:15 | INFO | BotCore | [STABLEUSDT] LONG Canceling all limit orders for this side
2026-06-30 05:50:15 | INFO | BotCore | [STABLEUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 05:50:15 | INFO | BotCore | [STABLEUSDT] Signal triggered for LONG.
2026-06-30 05:50:15 | INFO | BotCore | [STABLEUSDT] Opening LONG market order. Volume: 333.0
2026-06-30 05:50:20 | WARNING | BotCore | [STABLEUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 05:50:21 | INFO | BotCore | [STABLEUSDT] LONG REST fallback applied! New avg_entry_price: 0.03894
2026-06-30 05:54:51 | INFO | BotCore | [STABLEUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 05:54:51 | INFO | BotCore | [STABLEUSDT] SHORT Canceling all limit orders for this side
2026-06-30 05:54:51 | INFO | BotCore | [STABLEUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 05:54:51 | INFO | BotCore | [STABLEUSDT] Signal triggered for SHORT.
2026-06-30 05:54:51 | INFO | BotCore | [STABLEUSDT] Opening SHORT market order. Volume: 338.0
2026-06-30 05:54:57 | WARNING | BotCore | [STABLEUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 05:54:57 | INFO | BotCore | [STABLEUSDT] SHORT REST fallback applied! New avg_entry_price: 0.0382888757396
2026-06-30 05:55:14 | INFO | BotCore | [STABLEUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 05:55:14 | INFO | BotCore | [STABLEUSDT] SHORT Canceling all limit orders for this side
2026-06-30 05:55:14 | INFO | BotCore | [STABLEUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 05:55:14 | INFO | BotCore | [STABLEUSDT] Signal triggered for SHORT.
2026-06-30 05:55:14 | INFO | BotCore | [STABLEUSDT] Opening SHORT market order. Volume: 341.0
2026-06-30 05:55:20 | WARNING | BotCore | [STABLEUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 05:55:20 | INFO | BotCore | [STABLEUSDT] SHORT REST fallback applied! New avg_entry_price: 0.0379942521994
